timestamp,username,game_type,bet_amount,result,token_change,tokens_after
2026-07-09 10:11:08,test01,사다리타기,100,lose,-100,10700
2026-07-09 10:11:10,test01,사다리타기,100,lose,-100,10600
2026-07-09 10:11:12,test01,사다리타기,100,lose,-100,10500
2026-07-09 10:11:13,test01,사다리타기,100,lose,-100,10400
2026-07-09 10:11:15,test01,사다리타기,100,lose,-100,10300
2026-07-09 10:11:17,test01,사다리타기,100,lose,-100,10200
2026-07-09 10:11:19,test01,사다리타기,100,lose,-100,10100
2026-07-09 10:11:34,test01,포커,100,lose,-100,10000
2026-07-09 10:11:55,test01,포커,50,lose,-50,9950
2026-07-09 10:12:04,test01,포커,150,win,100,10050
2026-07-09 10:12:17,test01,블랙잭,100,lose,-100,9950
2026-07-09 10:12:23,test01,블랙잭,100,win,100,10050
2026-07-09 10:17:55,test01,사다리타기,1000,win,4000,15150
2026-07-09 10:26:55,test01,블랙잭,100,lose,-100,10300
2026-07-09 10:26:57,test01,블랙잭,200,lose,-200,10100
2026-07-09 10:27:13,test01,포커,150,win,100,10200
2026-07-09 10:27:22,test01,사다리타기,100,lose,-100,10100
